2 - List of Successful Candidates,,,,,
 STATE/UT , CONSTITUENCY , WINNER , SEX , PARTY , SYMBOL 
Andhra Pradesh,Undi,MANTENA RAMARAJU (KALAPUDI RAMBABU),MALE,TDP,Bicycle
Andhra Pradesh,TANUKU,KARUMURI VENKATA NAGESWARA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tadepalligudem,KOTTU SATYANARAYANA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Unguturu,Puppala Srinivasarao (Vasubabu),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Denduluru ,ABBAYA CHOWDARY KOTHARI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Eluru,ALLA KALI KRISHNA SRINIVAS (ALLA NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gopalapuram ,Venkatrao Talari,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Polavaram ,TELLAM BALA RAJU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chintalapudi ,VUNNAMATLA RAKADA ELIZA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tiruvuru ,Kokkiligadda Rakshana Nidhi,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nuzvid ,Meka Venkata Pratap Apparao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gannavaram,Vamsi Vallabhaneni,MALE,TDP,Bicycle
Andhra Pradesh,Gudivada ,KODALI SRI VENKATESWARA RAO (NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kaikalur,DULAM NAGESWARA RAO (DNR),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pedana,JOGI RAMESH,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Machilipatnam,PERNI VENKATARAMAIAH (NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Avanigadda,RAMESH BABU SIMHADRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pamarru ,Anil Kumar Kaile,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Penamaluru,KOLUSU PARTHA SARATHY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijaywada West,Velam Palli Srinivasa Rao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijayawada central,MALLADI VISHNU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijayawada East,Gadde Rama Mohan,MALE,TDP,Bicycle
Andhra Pradesh,Mylavaram,VASANTHA VENKATA KRISHNA PRASAD,MALE,YSRCP,Ceiling Fan
